ricoverati_con_sintomi,totale_ospedalizzati,nuovi_positivi,ingressi_terapia_intensiva,death,data,terapia_intensiva
524.2,459,390,0,0,2020-10-01,38
524.2,478,392,0,1,2020-10-02,39
524.2,474,401,0,1,2020-10-03,40
524.2,491,412,0,0,2020-10-04,41
524.2,506,431,0,1,2020-10-05,43
524.2,535,395,0,2,2020-10-06,47
524.2,572,544,0,1,2020-10-07,52
524.2,603,757,0,1,2020-10-08,55
524.2,639,769,0,5,2020-10-09,63
524.2,698,664,0,2,2020-10-10,63
664,725,633,0,2,2020-10-11,61
685,749,662,0,0,2020-10-12,64
694,756,635,0,6,2020-10-13,62
735,796,818,0,2,2020-10-14,61
762,828,1127,0,9,2020-10-15,66
786,853,1261,0,3,2020-10-16,67
817,892,1410,0,0,2020-10-17,75
849,927,1376,0,2,2020-10-18,78
884,969,1593,0,21,2020-10-19,85
946,1037,1312,0,12,2020-10-20,91
996,1081,1760,0,11,2020-10-21,85
1037,1131,1541,0,6,2020-10-22,94
1090,1188,2280,0,12,2020-10-23,98
1118,1226,1718,0,8,2020-10-24,108
1151,1264,2590,0,0,2020-10-25,113
1191,1314,1981,0,16,2020-10-26,123
1210,1350,2761,0,20,2020-10-27,140
1235,1395,2427,0,17,2020-10-28,160
1297,1461,3103,0,20,2020-10-29,164
1385,1546,3186,0,15,2020-10-30,161
1403,1571,3669,0,14,2020-10-31,168
1416,1586,3860,0,3,2020-11-01,170
1486,1657,2861,0,24,2020-11-02,171
1497,1724,2971,0,24,2020-11-03,227
1569,1744,4181,0,15,2020-11-04,175
1608,1782,3888,0,17,2020-11-05,174
1677,1857,4508,0,40,2020-11-06,180
1756,1935,4309,0,15,2020-11-07,179
1817,2003,4601,0,15,2020-11-08,186
1949,2140,3120,0,18,2020-11-09,191
2061,2254,2716,0,18,2020-11-10,193
2077,2258,3166,0,34,2020-11-11,181
1944,2136,4065,0,31,2020-11-12,192
2153,2336,4079,0,40,2020-11-13,183
2080,2264,3351,0,27,2020-11-14,184
2224,2418,3771,0,35,2020-11-15,194
2190,2382,4079,0,37,2020-11-16,192
2236,2437,3019,0,19,2020-11-17,201
2259,2459,3657,0,75,2020-11-18,200
2287,2481,3334,0,32,2020-11-19,194
2244,2445,4226,0,25,2020-11-20,201
2260,2458,3554,0,32,2020-11-21,198
2218,2419,3217,0,21,2020-11-22,201
2331,2532,2158,0,39,2020-11-23,201
2274,2475,1764,0,78,2020-11-24,201
2282,2474,2815,0,47,2020-11-25,192
2212,2412,3008,0,49,2020-11-26,200
2188,2372,2924,0,63,2020-11-27,184
2164,2350,2729,0,49,2020-11-28,186
2165,2348,2022,0,36,2020-11-29,183
2141,2323,1626,0,42,2020-11-30,182
2099,2278,1113,0,48,2020-12-01,179
2064,2237,1842,0,43,2020-12-02,173
2041,2203,2295,0,54,2020-12-03,162
1999,2165,1651,0,85,2020-12-04,166
1558,1723,1521,0,55,2020-12-05,165
1916,2071,1552,0,32,2020-12-06,155
1840,1977,1060,0,39,2020-12-07,137
1898,2038,1080,0,35,2020-12-08,140
1852,1990,1361,0,44,2020-12-09,138
1789,1929,1198,0,57,2020-12-10,140
1828,1972,1340,0,63,2020-12-11,144
1794,1931,1414,0,47,2020-12-12,137
1804,1938,1219,0,35,2020-12-13,134
1796,1926,1088,0,30,2020-12-14,130
1720,1843,647,0,50,2020-12-15,123
1701,1825,900,0,34,2020-12-16,124
1656,1775,927,0,48,2020-12-17,119
1621,1741,1201,0,56,2020-12-18,120
1598,1720,949,0,32,2020-12-19,122
1554,1673,891,0,11,2020-12-20,119
1571,1691,691,0,28,2020-12-21,120
1529,1647,791,0,25,2020-12-22,118
1513,1620,1067,0,19,2020-12-23,107
1488,1590,1156,0,20,2020-12-24,102
1449,1551,1009,0,7,2020-12-25,102
1431,1529,539,0,8,2020-12-26,98
1440,1535,310,0,8,2020-12-27,95
1422,1520,433,0,33,2020-12-28,98
1402,1499,625,0,46,2020-12-29,97
1357,1459,930,0,47,2020-12-30,102
1325,1438,1554,15,32,2020-12-31,113
1359,1463,1734,19,20,2021-01-01,104
1355,1454,392,13,29,2021-01-02,99
1362,1460,619,5,18,2021-01-03,98
1377,1473,747,6,31,2021-01-04,96
1372,1469,688,10,33,2021-01-05,97
1362,1461,1366,9,19,2021-01-06,99
1385,1481,1052,6,39,2021-01-07,96
1395,1495,984,13,46,2021-01-08,100
1376,1483,1263,17,36,2021-01-09,107
1377,1483,1253,16,13,2021-01-10,106
1400,1509,1021,21,37,2021-01-11,109
1414,1523,662,8,44,2021-01-12,109
1405,1511,1098,7,48,2021-01-13,106
1365,1469,1294,9,41,2021-01-14,104
1401,1494,1150,7,37,2021-01-15,93
1432,1529,1132,14,0,2021-01-16,97
1460,1554,1021,3,35,2021-01-17,94
1448,1542,714,9,25,2021-01-18,94
1468,1565,651,12,34,2021-01-19,97
1448,1548,968,11,42,2021-01-20,100
1440,1540,1215,9,40,2021-01-21,100
1438,1542,1106,13,46,2021-01-22,104
1437,1551,1150,16,29,2021-01-23,114
1448,1560,1069,7,12,2021-01-24,112
1455,1560,754,4,20,2021-01-25,105
1470,1571,976,6,25,2021-01-26,101
1447,1554,1178,13,26,2021-01-27,107
1474,1572,1313,1,35,2021-01-28,98
1425,1520,1175,12,21,2021-01-29,95
1435,1527,1366,12,22,2021-01-30,92
1417,1516,1401,8,10,2021-01-31,99
1437,1534,994,8,8,2021-02-01,97
